ID,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2013 Pořadí skokani kategorie,2014 Pořadí skokani kategorie,2015 Pořadí skokani kategorie,2016 Pořadí skokani kategorie,2017 Pořadí skokani kategorie,2018 Pořadí skokani kategorie,2019 Pořadí skokani kategorie,2020 Pořadí skokani kategorie,2021 Pořadí skokani kategorie,2022 Pořadí skokani kategorie,2023 Pořadí skokani kategorie,2024 Pořadí skokani kategorie,2025 Pořadí skokani kategorie,2026 Pořadí skokani kategorie
37935,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37957,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37983,902,958,1205,1491,,,,,,,,,,,,799,967,1557,,,,,,,,,,,
38130,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38134,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38146,51,59,,,,,,,,,,,,,,1178,,,,,,,,,,,,,
38149,28,32,,,,,,,,,,,,,,1223,,,,,,,,,,,,,
38161,281,206,351,420,,,,,,,,,,,,141,1365,1248,,,,,,,,,,,
38205,124,140,171,202,,,,,,,,,,,,885,577,1272,,,,,,,,,,,
38214,,241,627,,,,,,,,,,,,,,471,,,,,,,,,,,,
38271,108,100,101,,,,,,,,,,,,,51,196,,,,,,,,,,,,
38281,412,345,,,,,,,,,,,,,,388,,,,,,,,,,,,,
38295,71,55,100,72,144,136,,,,,,,,,,252,694,369,1802,1027,,,,,,,,,
38321,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38324,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38330,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38370,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38388,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38389,169,151,,,,,,,,,,,,,,615,,,,,,,,,,,,,
