Sezóna,Pohlaví,Kraj,Kategorie,Počet hráčů,Počet skokanů 800,Počet skokanů 1200,Počet skokanů 1600,Počet skokanů 2000
2024,M,Moravskoslezský SST,dospělí,1385,1117,852,292,37
2024,M,Pražský SST,dospělí,947,808,657,238,28
2024,M,Středočeský SST,dospělí,2737,2120,1352,288,4
2024,Z,KSST Jihomoravský,dospělí,185,99,58,20,6
2024,Z,KSST Jihočeský,dospělí,83,49,32,2,
2024,Z,KSST Karlovarský,dospělí,20,12,5,,
2024,Z,KSST Kralovéhradecký,dospělí,110,63,42,14,1
2024,Z,KSST Liberecký,dospělí,49,34,8,,
2024,Z,KSST Olomoucký,dospělí,69,45,18,2,
2024,Z,KSST Pardubický,dospělí,59,34,27,3,
2024,Z,KSST Plzeňský,dospělí,67,45,26,5,
2024,Z,KSST Vysočina,dospělí,75,38,24,8,1
2024,Z,KSST Zlínský,dospělí,46,26,17,2,
2024,Z,KSST Ústecký,dospělí,68,48,28,9,
2024,Z,Moravskoslezský SST,dospělí,107,62,37,15,1
2024,Z,Pražský SST,dospělí,140,119,68,16,
2024,Z,Středočeský SST,dospělí,209,110,63,15,
2025,M,KSST Jihomoravský,dospělí,2207,1694,1158,330,22
2025,M,KSST Jihočeský,dospělí,1154,965,662,138,11
2025,M,KSST Karlovarský,dospělí,231,185,145,40,6
2025,M,KSST Kralovéhradecký,dospělí,1252,985,699,189,18
2025,M,KSST Liberecký,dospělí,706,548,331,101,6
2025,M,KSST Olomoucký,dospělí,867,748,578,168,2
2025,M,KSST Pardubický,dospělí,797,644,483,132,7
2025,M,KSST Plzeňský,dospělí,909,765,553,136,3
2025,M,KSST Vysočina,dospělí,1333,1055,643,151,12
2025,M,KSST Zlínský,dospělí,995,751,526,151,7
2025,M,KSST Ústecký,dospělí,1023,839,596,129,7
2025,M,Moravskoslezský SST,dospělí,1376,1107,845,303,42
2025,M,Pražský SST,dospělí,978,822,664,249,25
2025,M,Středočeský SST,dospělí,2723,2119,1314,285,2
2025,Z,KSST Jihomoravský,dospělí,205,102,54,23,7
2025,Z,KSST Jihočeský,dospělí,80,52,29,2,
2025,Z,KSST Karlovarský,dospělí,29,12,6,1,
2025,Z,KSST Kralovéhradecký,dospělí,105,62,40,14,2
