ID,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2027 pořadí kraj kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani kraj kategorie
36364,3,2,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
36440,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36441,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36447,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
36498,1,1,3,1,4,3,,,,,,,,,,,27,131,129,220,75,,,,,,,,,,
36507,58,46,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,
36587,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36627,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36650,32,49,57,,,,,,,,,,,,,,157,249,,,,,,,,,,,,,
36651,112,185,211,,,,,,,,,,,,,,160,253,,,,,,,,,,,,,
36681,18,13,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
36694,10,6,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,
36701,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36702,40,45,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,
36732,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36739,19,23,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,
36784,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36785,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36809,2,4,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,
36843,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36844,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36850,68,65,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,
36869,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36878,8,5,9,,,,,,,,,,,,,,3,22,,,,,,,,,,,,,
36881,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36901,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36913,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36921,4,4,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,
36930,60,91,102,,,,,,,,,,,,,,95,241,,,,,,,,,,,,,
36932,33,22,27,36,22,39,37,,,,,,,,,,1,90,107,36,165,214,,,,,,,,,
36933,16,19,17,18,,,,,,,,,,,,,22,47,44,,,,,,,,,,,,
36934,17,43,53,83,89,,,,,,,,,,,,110,147,213,202,,,,,,,,,,,
36968,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36971,4,4,5,8,,,,,,,,,,,,,49,61,41,,,,,,,,,,,,
36994,10,11,13,13,,,,,,,,,,,,,40,91,91,,,,,,,,,,,,
37024,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37028,156,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37065,30,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37066,2,3,3,5,,,,,,,,,,,,,77,69,68,,,,,,,,,,,,
37070,17,16,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,
37079,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37122,35,37,51,,,,,,,,,,,,,,53,113,,,,,,,,,,,,,
37123,106,110,114,,,,,,,,,,,,,,88,88,,,,,,,,,,,,,
37124,84,83,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,
37127,78,92,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,
37175,5,14,21,,,,,,,,,,,,,,101,92,,,,,,,,,,,,,
37243,7,13,12,,,,,,,,,,,,,,104,81,,,,,,,,,,,,,
37312,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37383,24,15,22,24,,,,,,,,,,,,,12,49,150,,,,,,,,,,,,
37391,5,6,7,6,,10,,,,,,,,,,,90,27,115,,,,,,,,,,,,
